"","y","x"
"158",85.2959611815874,157
"159",86.8081007134083,158
"160",88.285417924677,159
"161",89.7164959274893,160
"162",91.0899178339407,161
"163",92.3942667561265,162
"164",93.6181258061425,163
"165",94.7515248641807,164
"166",95.8488373671537,165
"167",96.9375611917254,166
"168",98.0108290879379,167
"169",99.0617738058337,168
"170",100.083528095455,169
"171",101.069224706844,170
"172",102.011996390044,171
"173",102.904975895095,172
"174",103.741295972042,173
"175",104.530436855481,174
"176",105.287367759051,175
"177",106.01156130238,176
"178",106.702483622935,177
"179",107.359600858182,178
"180",107.982379145587,179
"181",108.570284622618,180
"182",109.12278342674,181
"183",109.639341695419,182
"184",110.121713065448,183
"185",110.575172012321,184
"186",110.999002492712,185
"187",111.392156698279,186
"188",111.753586820679,187
"189",112.082245051568,188
"190",112.377083582602,189
"191",112.63705460544,190
"192",112.861110311736,191
"193",113.048202893148,192
"194",113.197284541332,193
"195",113.307307447946,194
"196",113.377223804645,195
"197",113.405985803087,196
"198",113.392578577858,197
"199",113.344635530401,198
"200",113.267694611729,199
"201",113.16045407327,200
"202",113.021612166455,201
"203",112.849867142714,202
"204",112.643917253475,203
"205",112.402460750168,204
"206",112.124195884225,205
"207",111.807820907073,206
"208",111.452034070143,207
"209",111.055533624864,208
"210",110.617017822667,209
"211",110.13518491498,210
"212",109.608733153235,211
"213",109.033728792043,212
"214",108.400507646358,213
"215",107.712455949189,214
"216",106.974322028515,215
"217",106.190854212313,216
"218",105.366800828562,217
"219",104.506910205237,218
"220",103.615930670318,219
"221",102.698610551782,220
"222",101.759698177605,221
"223",100.803941875767,222
"224",99.8360899742436,223
"225",98.8321354666064,224
"226",97.7132088458722,225
"227",96.4944143434648,226
"228",95.1980284115739,227
"229",93.8463275023892,228
"230",92.4615880681003,229
"231",91.0660865608969,230
"232",89.6820994329687,231
"233",88.3319031365053,232
"234",87.0377741236965,233
"235",85.7564019653498,234
"236",84.3502024248041,235
"237",82.8270727133642,236
"238",81.2014937474064,237
"239",79.487946443307,238
"240",77.7009117174422,239
"241",75.8548704861883,240
"242",73.9643036659215,241
"243",72.0436921730181,242
"244",70.1075169238544,243
"245",68.1702588348067,244
"246",66.2463988222512,245
"247",64.3504178025642,246
"248",62.4967966921219,247
"249",60.7000164073006,248
"250",58.9745578644766,249
"251",57.3349019800261,250
"252",55.7955296703254,251
"253",54.3709218517508,252
"254",52.9543543396973,253
"255",51.4003024001891,254
"256",49.736082782358,255
"257",47.9901309831427,256
"258",46.190882499482,257
"259",44.3667728283143,258
"260",42.5462374665785,259
"261",40.7577119112131,260
"262",39.0296316591568,261
"263",37.3904322073484,262
"264",35.8685490527264,263
"265",34.4924176922294,264
"266",33.2904736227963,265
"267",32.2159924872652,266
"268",31.1237835070356,267
"269",30.0211110665781,268
"270",28.9210424735312,269
"271",27.8366450355334,270
"272",26.7809860602232,271
"273",25.7671328552392,272
"274",24.8081527282199,273
"275",23.9171129868039,274
"276",23.1070809386297,275
"277",22.3911238913358,276
"278",21.7807514843454,277
"279",21.2384450871237,278
"280",20.7426843194775,279
"281",20.2926508433847,280
"282",19.8875263208233,281
"283",19.5264924137715,282
"284",19.2087307842071,283
"285",18.9334230941083,284
"286",18.6997510054531,285
"287",18.5068961802195,286
"288",18.3540402803856,287
"289",18.2403649679293,288
"290",18.179135336616,289
"291",18.2411420316095,290
"292",18.4141033537783,291
"293",18.6716844642133,292
"294",18.9875505240055,293
"295",19.3353666942459,294
"296",19.6887981360254,295
"297",20.021510010435,296
"298",20.3071674785657,297
"299",20.6144542976412,298
"300",21.0823984261911,299
"301",21.6737249191443,300
"302",22.3474018745524,301
"303",23.0623973904671,302
"304",23.7776795649403,303
"305",24.4522164960236,304
"306",25.0449762817689,305
"307",25.616415093445,306
"308",26.2916748440375,307
"309",27.0624638536677,308
"310",27.9193251784075,309
"311",28.852801874329,310
"312",29.8534369975041,311
"313",30.9117736040049,312
"314",32.0183547499032,313
"315",33.1637234912711,314
"316",34.3384228841806,315
"317",35.5329959847037,316
"318",36.7379858489123,317
"319",37.9439355328785,318
"320",39.1413880926742,319
"321",40.3208865843714,320
"322",41.4729740640421,321
"323",42.5881935877583,322
"324",43.657088211592,323
"325",44.6702009916152,324
"326",45.6180749838998,325
"327",46.4912532445178,326
"328",47.321290491531,327
"329",48.1880586673398,328
"330",49.0866940855118,329
"331",50.0093330920502,330
"332",50.9481120329579,331
"333",51.895167254238,332
"334",52.8426351018936,333
"335",53.7826519219278,334
"336",54.7073540603436,335
"337",55.6088778631441,336
"338",56.4793596763324,337
"339",57.3109358459114,338
"340",58.0957427178843,339
"341",58.8259166382541,340
"342",59.5236420491987,341
"343",60.2269664664138,342
"344",60.931489171391,343
"345",61.6324285790733,344
"346",62.3250031044037,345
"347",63.0044311623252,346
"348",63.6659311677808,347
"349",64.3047215357136,348
"350",64.9160206810666,349
"351",65.5073812029116,350
"352",66.0930097859293,351
"353",66.6717292423238,352
"354",67.2422680503631,353
"355",67.8033546883146,354
"356",68.3537176344462,355
"357",68.8920853670256,356
"358",69.4171863643206,357
"359",69.9277491045988,358
"360",70.4225020661279,359
"361",70.9001737271757,360
"362",71.3608338370716,361
"363",71.8097571876312,362
"364",72.2474677339794,363
"365",72.6737726732494,364
"366",73.0884792025748,365
"367",73.491394519089,366
"368",73.8823258199253,367
"369",74.2610803022172,368
"370",74.6274651630981,369
"371",74.9812875997013,370
"372",75.3223548091605,371
"373",75.6504739886088,372
"374",75.9654523351798,373
"375",76.2670970460068,374
"376",76.554941171955,375
"377",76.8269346328455,376
"378",77.0830946993541,377
"379",77.3239101843477,378
"380",77.5498699006935,379
"381",77.7614626612583,380
"382",77.959177278909,381
"383",78.1435025665128,382
"384",78.3149273369364,383
"385",78.4739404030469,384
"386",78.6210305777113,385
"387",78.7566866737964,386
"388",78.8813975041694,387
